compound_drug_id,compound_compound_name,compound_iupac,compound_smiles,compound_molecular_weight,compound_molecular_formula,compound_pharmacology
DB03022,"3-[2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate","(3-{2,6,8-trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-2,3,6,7,8,9-hexahydro-1H-purin-7-yl}propo",[H]N1C2=C(N(CCCOP(O)(O)=O)C(=O)N2C[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)N([H])C1=O,440.094444046,C13H21N4O11P,pending
DB03023,"1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine","4-amino-1-tert-butyl-3-(4-chlorophenyl)-1H-pyrazolo[3,4-d]pyrimidin-2-ium",CC(C)(C)N1[NH+]=C(C2=C1N=CN=C2N)C1=CC=C(Cl)C=C1,302.117248276,C15H17ClN5,pending
DB03024,2-Methyl-3-(2-Aminothiazolo)Propanal,"(2S)-3-(2-amino-1,3-thiazol-4-yl)-2-methylpropanal",[H][C@](C)(CC1=CSC(N)=N1)C=O,170.051383642,C7H10N2OS,pending
DB03025,(S)-oct-1-en-3-ol,(3S)-oct-1-en-3-ol,CCCCC[C@H](O)C=C,128.120115134,C8H16O,pending
DB03026,Phosphoglycolohydroxamic Acid,[(hydroxycarbamoyl)methoxy]phosphonic acid,ONC(=O)COP(O)(O)=O,170.993273441,C2H6NO6P,pending
DB03028,1h-Benoximidazole-2-Carboxylic Acid,"1H-1,3-benzodiazole-2-carboxylic acid",OC(=O)C1=NC2=CC=CC=C2N1,162.042927446,C8H6N2O2,pending
DB03030,4-(2-Thienyl)-1-(4-Methylbenzyl)-1h-Imidazole,1-[(4-methylphenyl)methyl]-4-(thiophen-2-yl)-1H-imidazole,CC1=CC=C(CN2C=NC(=C2)C2=CC=CS2)C=C1,254.087769148,C15H14N2S,pending
DB03031,Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Octyl-Amide,N-{8-[5-(dimethylamino)naphthalene-1-sulfonamido]octyl}adamantane-1-carboxamide,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCCCCCNC(=O)C12CC3CC(CC(C3)C1)C2,539.318163011,C31H45N3O3S,pending
DB03032,S-octylglutathione,(2S)-2-amino-4-{[(1R)-1-[(carboxymethyl)carbamoyl]-2-(octylsulfanyl)ethyl]carbamoyl}butanoic acid,CCCCCCCCSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,419.209006493,C18H33N3O6S,pending
DB03033,4-methoxybenzenesulfinate,4-methoxybenzene-1-sulfinate,COC1=CC=C(C=C1)S([O-])=O,171.012138839,C7H7O3S,pending
DB03034,D-Levofloxacin,"(2R)-7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.0⁵,¹³]trideca-5,7",C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O,361.143784348,C18H20FN3O4,pending
DB03035,"1,8-Di-Hydroxy-4-Nitro-Anthraquinone","4,5-dihydroxy-1-nitro-9,10-dihydroanthracene-9,10-dione",OC1=CC=CC2=C1C(=O)C1=C(O)C=CC(=C1C2=O)[N+]([O-])=O,285.027336961,C14H7NO6,pending
DB03037,Oxidized Acetyl Dithranol,"2-(1,8-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)acetic acid",OC(=O)CC1=C(O)C2=C(C=C1)C(=O)C1=C(C(O)=CC=C1)C2=O,298.047738052,C16H10O6,pending
DB03038,LY341770,"(2S)-2-{[4-(2-{2-amino-4-oxo-1H,4H,7H-pyrrolo[2,3-d]pyrimidin-5-yl}ethyl)phenyl]formamido}-4-(2H-1,2",[H]N([H])C1=NC(=O)C2=C(N([H])C=C2CCC2=CC=C(C=C2)C(=O)N([H])[C@@H](CCC2=NN([H])N=N2)C(O)=O)N1[H],451.171650205,C20H21N9O4,pending
DB03039,"4-(Aminosulfonyl)-N-[(2,5-Difluorophenyl)Methyl]-Benzamide","N-[(2,5-difluorophenyl)methyl]-4-sulfamoylbenzamide",NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC(F)=CC=C1F,326.05366936,C14H12F2N2O3S,pending
DB03040,Nitrilotriacetic Acid,2-[bis(carboxymethyl)amino]acetic acid,OC(=O)CN(CC(O)=O)CC(O)=O,191.042987025,C6H9NO6,pending
DB03041,UDP-alpha-D-glucuronic acid,"(2S,3S,4S,5R,6R)-6-({[({[(2R,3S,4R,5R)-5-(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)-3,4-dihydroxyo",O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C,580.034284934,C15H22N2O18P2,pending
DB03042,5-Phosphoarabinonic Acid,"(2S,3R,4R)-2,3,4-trihydroxy-5-(phosphonooxy)pentanoic acid",[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(O)=O,246.014068462,C5H11O9P,pending
DB03043,"(S)-2-Amino-3-(6h-Selenolo[2,3-B]-Pyrrol-4-Yl)-Propionic Acid","(2S)-2-amino-3-{6H-selenopheno[2,3-b]pyrrol-4-yl}propanoic acid",[H][C@](N)(CC1=CNC2=C1C=C[Se]2)C(O)=O,257.990749402,C9H10N2O2Se,pending
DB03044,1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea,3-[3-tert-butyl-1-(4-methylphenyl)-1H-pyrazol-5-yl]-1-{4-[2-(morpholin-4-yl)ethoxy]naphthalen-1-yl}u,CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C,527.289640075,C31H37N5O3,pending
DB03045,Pantothenyl-Aminoethanol-Acetate Pivalic Acid,"(3R)-3-[(2-{[2-(acetyloxy)ethyl]carbamoyl}ethyl)carbamoyl]-3-hydroxy-2,2-dimethylpropyl 2,2-dimethyl",CC(=O)OCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COC(=O)C(C)(C)C,388.220951388,C18H32N2O7,pending
DB03046,7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide,8-(1-methanesulfonyl-1H-pyrazol-4-yl)-7-methoxynaphthalene-2-carboximidamide,COC1=CC=C2C=CC(=CC2=C1C1=CN(N=C1)S(C)(=O)=O)C(N)=N,344.094311088,C16H16N4O3S,pending
DB03047,L-Alpha-Phosphatidyl-Beta-Oleoyl-Gamma-Palmitoyl-Phosphatidylethanolamine,"(2-aminoethoxy)[(2R)-2-[(9E,12E)-hexadeca-9,12-dienoyloxy]-3-[(8E,16E)-octadeca-8,12,16-trienoyloxy]",[H]\C(C)=C(\[H])CCC([H])=C([H])CC\C([H])=C(/[H])CCCCCCC(=O)OC[C@]([H])(COP(O)(=O)OCCN)OC(=O)CCCCCCC\,709.468254669,C39H68NO8P,pending
DB03048,6-Carboxymethyluracil,"2-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)acetic acid",OC(=O)CC1=CC(=O)NC(=O)N1,170.03275669,C6H6N2O4,pending
DB03049,S-Selanyl Cysteine,(2R)-2-amino-3-(selanylsulfanyl)propanoic acid,N[C@@H](CS[SeH])C(O)=O,200.936270991,C3H7NO2SSe,pending
DB03051,Tetrahydrofuran-2-Carboxylic Acid,(2R)-oxolane-2-carboxylic acid,OC(=O)[C@H]1CCCO1,116.047344122,C5H8O3,pending
DB03052,Dazoxiben,4-[2-(1H-imidazol-1-yl)ethoxy]benzoic acid,OC(=O)C1=CC=C(OCCN2C=CN=C2)C=C1,232.08479226,C12H12N2O3,pending
DB03053,1-Aminocyclopropylphosphonate,hydrogen (1-aminocyclopropyl)phosphonate,NC1(CC1)[P@](O)([O-])=O,136.016354607,C3H7NO3P,pending
DB03054,Bromoform,tribromomethane,BrC(Br)Br,249.762837973,CHBr3,pending
DB03056,4-Piperidino-Piperidine,1-(piperidin-4-yl)piperidine,C1CCN(CC1)C1CCNCC1,168.16264865,C10H20N2,pending
DB03057,Malonaldehyde,propanedial,O=CCC=O,72.021129372,C3H4O2,pending
DB03058,2-Aminobenzyl alcohol,(2-aminophenyl)methanol,NC1=CC=CC=C1CO,123.068413915,C7H9NO,pending
DB03059,Acetoacetyl-CoA,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[hydroxy({hydroxy[(3R)-3-hydroxy-2,2-dimethy",CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O,851.136337737,C25H40N7O18P3S,pending
DB03060,Sri-9662,"6-[(Z)-2-(2,5-dimethoxyphenyl)ethenyl]-5-methylpyrido[2,3-d]pyrimidine-2,4-diamine",COC1=CC(\C=C/C2=C(C)C3=C(N)N=C(N)N=C3N=C2)=C(OC)C=C1,337.153874877,C18H19N5O2,pending
DB03061,(R)-N-(1-Methyl-Hexyl)-Formamide,N-[(2S)-heptan-2-yl]formamide,CCCCC[C@H](C)NC=O,143.131014171,C8H17NO,pending
DB03062,(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Me,(3-{[3-methyl-2-(1-methyl-1H-imidazole-2-carbonyl)-1-benzofuran-4-yl]oxy}propyl)(pyridin-3-ylmethyl),CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CN=CC=C1,404.184840654,C23H24N4O3,pending
DB03063,"N-[(2S,3S)-4-[2-[(5S)-3a,4,5,6,7,7a-Hexahydro-1,3-benzodioxol-5-yl]ethyl-[3-(1,3-dioxoisoindol-2-yl)","N-[(2S,3S)-3-{[4-(benzyloxy)-3,5-dimethoxyphenyl]formamido}-2-hydroxy-4-phenylbutyl]-3-(1,3-dioxo-2,",COC1=CC(=CC(OC)=C1OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC[C@@H]1CCC2OCOC2C1)C(=O)CCN1,805.357444867,C46H51N3O10,pending
DB03064,"3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline","3-decyl-4-hydroxy-2,5-dihydro-1H-pyrrole-2,5-dione",CCCCCCCCCCC1=C(O)C(=O)NC1=O,253.167793607,C14H23NO3,pending
DB03065,7-Nitroindazole-2-Carboxamidine,7-nitro-2H-indazole-2-carboximidamide,NC(=N)N1C=C2C=CC=C(C2=N1)[N+]([O-])=O,205.059974493,C8H7N5O2,pending
DB03066,D-Lactic acid,(2R)-2-hydroxypropanoic acid,C[C@@H](O)C(O)=O,90.031694058,C3H6O3,pending
DB03067,"4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid","4-[2,4-bis(3-nitrobenzamido)phenoxy]benzene-1,2-dicarboxylic acid",OC(=O)C1=C(C=C(OC2=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C2)C=C1)C,586.097207438,C28H18N4O11,pending
DB03068,Zebularine,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2-dihydropyrimidin-2-one",OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC=NC1=O,228.074621504,C9H12N2O5,pending
DB03069,Cytidine-5'-diphospho-beta-D-xylose,"{[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}({[hydr",NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O,535.060440105,C14H23N3O15P2,pending
DB03070,Selenazole-4-carboxyamide-adenine dinucleotide,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}[({[(2R,3S,4R,5R)-5-(4-ca",[H]N([H])C(=O)C1=C[Se]C(=N1)[C@]1([H])O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=,717.009993395,C19H25N7O14P2Se,pending
DB03071,4-Methylidene-5-One,2-{2-[(1S)-1-aminoethyl]-5-hydroxy-4-methyl-1H-imidazol-1-yl}acetic acid,C[C@H](N)C1=NC(C)=C(O)N1CC(O)=O,199.095691297,C8H13N3O3,pending
DB03072,"2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone","2-{3-[4-(4-fluorophenyl)-1,2,3,6-tetrahydropyridin-1-yl]propyl}-8-methyl-3,4-dihydroquinazolin-4-one",CC1=CC=CC2=C1N=C(CCCN1CCC(=CC1)C1=CC=C(F)C=C1)NC2=O,377.19034061,C23H24FN3O,pending
DB03073,3-Methoxybenzamide,3-methoxybenzamide,COC1=CC=CC(=C1)C(N)=O,151.063328537,C8H9NO2,pending
DB03074,7-cyano-7-deazaguanine,"4-hydroxy-2-imino-1H,2H,7H-pyrrolo[2,3-d]pyrimidine-5-carbonitrile",NC1=NC2=C(C(=CN2)C#N)C(=O)N1,175.049409807,C7H5N5O,pending
DB03075,(Diphosphono)Aminophosphonic Acid,{[hydroxy(phosphonoamino)phosphoryl]oxy}phosphonic acid,OP(O)(=O)N[P@](O)(=O)OP(O)(O)=O,256.925540331,H6NO9P3,pending
DB03076,"3-[[(3R,4S,5S,6R)-7-Benzyl-4,5-dihydroxy-1,1-dioxo-3,6-bis(phenoxymethyl)-1,2,7-thiadiazepan-2-yl]me","3-{[(3R,4S,5S,6R)-7-benzyl-4,5-dihydroxy-1,1-dioxo-3,6-bis(phenoxymethyl)-1lambda6,2,7-thiadiazepan-",CNC(=O)C1=CC=CC(CN2[C@H](COC3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H](COC3=CC=CC=C3)N(CC3=CC=CC=C3)S2(=O)=O,631.235221243,C34H37N3O7S,pending
DB03077,"3-Amino-4-{3-[2-(2-Propoxy-Ethoxy)-Ethoxy]-Propylamino}-Cyclobut-3-Ene-1,2-Dione","3-amino-4-(5,8,11-trioxa-1-azatetradecan-1-yl)cyclobut-3-ene-1,2-dione",CCCOCCOCCOCCCNC1=C(N)C(=O)C1=O,300.168521888,C14H24N2O5,pending
DB03078,PASBN,(benzyloxy)(2-formylphenoxy)phosphinic acid,O[P@@](=O)(OCC1=CC=CC=C1)OC1=C(C=O)C=CC=C1,292.050060038,C14H13O5P,pending
DB03079,Alpha-Ribazole-5'-Phosphate Derivative,"{[(2R,3S,4R,5S)-5-(1H-1,3-benzodiazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid",[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=CC=CC=C23)[C@]([H])(O)[C@]1([H])O,330.061687356,C12H15N2O7P,pending
DB03081,"[N-[N-(4-Methoxy-2,3,6-trimethylphenylsulfonyl)-L-aspartyl]-D-(4-amidino-phenylalanyl)]-piperidine",(3S)-3-{[(2R)-3-(4-carbamimidoylphenyl)-1-oxo-1-(piperidin-1-yl)propan-2-yl]carbamoyl}-3-(4-methoxy-,COC1=C(C)C(C)=C(C(C)=C1)S(=O)(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](CC1=CC=C(C=C1)C(N)=N)C(=O)N1CCCCC1,601.257019317,C29H39N5O7S,pending
DB03082,6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide,N-[4-(aminomethyl)phenyl]-6-carbamimidoyl-4-[(pyrimidin-2-yl)amino]naphthalene-2-carboxamide,NCC1=CC=C(NC(=O)C2=CC(NC3=NC=CC=N3)=C3C=C(C=CC3=C2)C(N)=N)C=C1,411.180758329,C23H21N7O,pending
DB03083,IC261,"(3E)-3-[(2,4,6-trimethoxyphenyl)methylidene]-2,3-dihydro-1H-indol-2-one",COC1=CC(OC)=C(\C=C2\C(=O)NC3=CC=CC=C23)C(OC)=C1,311.115758037,C18H17NO4,pending
DB03084,"Cyclopropyl-{4-[5-(3,4-Dichlorophenyl)-2-[(1-Methyl)-Piperidin]-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyri","N-cyclopropyl-4-[4-(3,4-dichlorophenyl)-2-(1-methylpiperidin-4-yl)-1-propyl-1H-imidazol-5-yl]pyrimid",CCCN1C(=NC(=C1C1=CC=NC(NC2CC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCN(C)CC1,484.190900404,C25H30Cl2N6,pending
DB03085,Glycolic acid,2-hydroxyacetic acid,OCC(O)=O,76.016043994,C2H4O3,pending
DB03086,"N'-(2s,3r)-3-Amino-4-Cyclohexyl-2-Hydroxy-Butano-N-(4-Methylphenyl)Hydrazide","(2S,3R)-3-amino-4-cyclohexyl-2-hydroxy-N'-(4-methylphenyl)butanehydrazide",[H][C@@](N)(CC1CCCCC1)[C@]([H])(O)C(=O)NNC1=CC=C(C)C=C1,305.210327123,C17H27N3O2,pending
DB03087,2-(Sec-Butyl)Thiazole,"2-[(2R)-butan-2-yl]-1,3-thiazole",CC[C@@H](C)C1=NC=CS1,141.061220047,C7H11NS,pending
DB03088,Pidolic acid,(2S)-5-oxopyrrolidine-2-carboxylic acid,OC(=O)[C@@H]1CCC(=O)N1,129.042593095,C5H7NO3,pending
DB03090,Ethylaminobenzylmethylcarbonyl Group,(2S)-2-[(3R)-3-benzyl-2-oxopiperazin-1-yl]hexanoic acid,[H][C@@](CCCC)(N1CCN[C@]([H])(CC2=CC=CC=C2)C1=O)C(O)=O,304.178692644,C17H24N2O3,pending
DB03091,4-Amido-4-Carbamoyl-Butyric Acid,(4S)-4-amino-4-carbamoylbutanoic acid,N[C@@H](CCC(O)=O)C(N)=O,146.069142196,C5H10N2O3,pending
DB03092,5-Hydroxymethyl-Chonduritol,"(1S,2S,3S,4R)-5-(hydroxymethyl)cyclohex-5-ene-1,2,3,4-tetrol",[H][C@]1(O)C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,176.068473494,C7H12O5,pending
DB03093,"8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine","8-[(2,5-dimethoxyphenyl)methyl]-2-fluoro-7H-purin-6-amine",COC1=CC(CC2=NC3=NC(F)=NC(N)=C3N2)=C(OC)C=C1,303.113152922,C14H14FN5O2,pending
DB03094,"3,5-Dihydro-5-Methylidene-4h-Imidazol-4-On","2-[(2S,4S)-2-[(1S)-1-aminoethyl]-4-(aminomethyl)-5-oxoimidazolidin-1-yl]acetic acid",[H][C@@](C)(N)[C@@]1([H])N[C@@]([H])(CN)C(=O)N1CC(O)=O,216.122240398,C8H16N4O3,pending
DB03095,Tetramethylammonium Ion,tetramethylazanium,C[N+](C)(C)C,74.096974389,C4H12N,pending
DB03096,N-Aminoethylmorpholine,2-(morpholin-4-yl)ethan-1-amine,NCCN1CCOCC1,130.11061308,C6H14N2O,pending
DB03097,"PMP-hydroxyisoxazole, pyridoxamine-5-phosphate-hydroxyisoxazole","[(5-hydroxy-6-methyl-4-{[(3-oxo-2,3-dihydro-1,2-oxazol-4-yl)amino]methyl}pyridin-3-yl)methoxy]phosph",[H]N(CC1=C(O)C(C)=NC=C1COP(O)(O)=O)C1=CON([H])C1=O,331.056936329,C11H14N3O7P,pending
DB03098,[Methylseleno]Acetate,2-(methylselanyl)acetate,C[Se]CC([O-])=O,152.945476232,C3H5O2Se,pending
DB03099,5-Amino 6-Nitro Uracil,"5-amino-6-nitro-1,2,3,4-tetrahydropyrimidine-2,4-dione",NC1=C(NC(=O)NC1=O)[N+]([O-])=O,172.023254636,C4H4N4O4,pending
DB03100,6-Nitroindazole,6-nitro-2H-indazole,O=N(=O)C1=CC2=NNC=C2C=C1,163.038176419,C7H5N3O2,pending
DB03101,Ribose-1-Phosphate,"{[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}phosphonic acid",OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,230.01915384,C5H11O8P,pending
DB03102,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid","2-(carboxyformamido)-4H,5H,7H-thieno[2,3-c]pyran-3-carboxylic acid",OC(=O)C(=O)NC1=C(C(O)=O)C2=C(COCC2)S1,271.015057715,C10H9NO6S,pending
DB03103,Thymidine-5'- Diphosphate,"{[hydroxy({[(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)oxolan-2-yl]",CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O,402.022932388,C10H16N2O11P2,pending
DB03104,2-[4-[(Z)-2-Acetamido-3-oxo-3-[[(3S)-2-oxo-1-[(4-phenylphenyl)methyl]azepan-3-yl]amino]prop-1-enyl]-,"2-{4-[(1Z)-2-{[(3S)-1-({[1,1'-biphenyl]-4-yl}methyl)-2-oxoazepan-3-yl]carbamoyl}-2-acetamidoeth-1-en",CC(=O)N\C(=C/C1=CC=C(CC(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O,567.236935803,C33H33N3O6,pending
DB03105,5-Hydroxy Norvaline,(2S)-2-amino-5-hydroxypentanoic acid,N[C@@H](CCCO)C(O)=O,133.073893223,C5H11NO3,pending
DB03106,scyllo-inositol,"(1r,2r,3r,4r,5r,6r)-cyclohexane-1,2,3,4,5,6-hexol",O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,180.063388116,C6H12O6,pending
DB03107,Beta-Alanine,3-aminopropanoic acid,NCCC(O)=O,89.047678473,C3H7NO2,pending
DB03108,4-phospho-D-erythronic acid,"(2R,3R)-2,3-dihydroxy-4-(phosphonooxy)butanoic acid",[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)C(O)=O,216.003503776,C4H9O8P,pending
DB03109,2-acetylamino-2-deoxy-b-D-allopyranose,"N-[(2R,3R,4S,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",[H]N([C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O)C(C)=O,221.089937217,C8H15NO6,pending
DB03110,2-Chlorophenol,2-chlorophenol,OC1=CC=CC=C1Cl,128.002892489,C6H5ClO,pending
DB03111,Glucosamine 1-Phosphate,"{[(2R,3R,4R,5S,6R)-3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phosphonic acid",N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O,259.045702941,C6H14NO8P,pending
DB03112,"6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid","6-[(3aS,4S,6aR)-2-oxo-hexahydro-1H-thieno[3,4-d]imidazolidin-4-yl]hexanoic acid",[H][C@]12CS[C@@]([H])(CCCCCC(O)=O)[C@@]1([H])NC(=O)N2,258.103813142,C11H18N2O3S,pending
DB03113,3-Fluoro-2-(Phosphonooxy)Propanoic Acid,(2R)-3-fluoro-2-(phosphonooxy)propanoic acid,[H][C@@](CF)(OP(O)(O)=O)C(O)=O,187.988602641,C3H6FO6P,pending
DB03114,PAS219,(cyclohexylmethoxy)(2-formylphenoxy)phosphinic acid,O[P@@](=O)(OCC1CCCCC1)OC1=C(C=O)C=CC=C1,298.09701023,C14H19O5P,pending
DB03115,"5-Bromo-N-[(2S)-2,3-dihydroxypropoxy]-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide","5-bromo-N-[(2S)-2,3-dihydroxypropoxy]-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide",[H]N(OC[C@@H](O)CO)C(=O)C1=CC(Br)=C(F)C(F)=C1N([H])C1=C(F)C=C(I)C=C1,559.905547596,C16H13BrF3IN2O4,pending
DB03116,5-(1-Carboxy-1-Phosphonooxy-Ethoxyl)-Shikimate-3-Phosphate,"(3R,4S,5R)-5-[(1S)-1-carboxy-1-(phosphonooxy)ethoxy]-4-hydroxy-3-(phosphonooxy)cyclohex-1-ene-1-carb",[H][C@]1(CC(=C[C@@]([H])(OP(O)(O)=O)[C@@]1([H])O)C(O)=O)O[C@@](C)(OP(O)(O)=O)C(O)=O,422.001528244,C10H16O14P2,pending
DB03117,2-carboxypropyl-coenzyme A,"(2R)-3-[(2-{3-[(2R)-3-[({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)oxola",[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSC[C,853.151987801,C25H42N7O18P3S,pending
DB03118,(2Z)-1-(5-Chloro-1H-indol-3-yl)-3-hydroxy-3-(1H-tetrazol-5-yl)-2-propen-1-one,"(2Z)-1-(5-chloro-1H-indol-3-yl)-3-hydroxy-3-(1H-1,2,3,4-tetrazol-5-yl)prop-2-en-1-one",O\C(=C/C(=O)C1=CNC2=CC=C(Cl)C=C12)C1=NN=NN1,289.036652232,C12H8ClN5O2,pending
DB03120,Para-Toluene Sulfonate,4-methylbenzene-1-sulfonic acid,CC1=CC=C(C=C1)S(O)(=O)=O,172.019414812,C7H8O3S,pending
DB03121,(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,2-(1-benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,COC1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(C)=C2CC(O)=O,309.136493479,C19H19NO3,pending
DB03124,5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid,5-{[(4-{[(2S)-1-carboxy-3-oxobutan-2-yl]carbamoyl}phenyl)methyl]sulfamoyl}-2-hydroxybenzoic acid,[H][C@@](CC(O)=O)(NC(=O)C1=CC=C(CNS(=O)(=O)C2=CC(C(O)=O)=C(O)C=C2)C=C1)C(C)=O,464.088950938,C20H20N2O9S,pending
DB03125,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium","2,4-diamino-5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidin-1-ium",COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OC)=C1OC,291.145715494,C14H19N4O3,pending
DB03126,Mant-Adp,"[({[(2R,3S,5R)-5-(6-amino-9H-purin-9-yl)-3-[2-(methylamino)benzoyloxy]oxolan-2-yl]methoxy}(hydroxy)p",[H][C@@]1(C[C@]([H])(OC(=O)C2=CC=CC=C2NC)[C@@]([H])(COP(O)(=O)OP(O)(O)=O)O1)N1C=NC2=C(N)N=CN=C12,544.087263978,C18H22N6O10P2,pending
